2019 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2019),2019 Passengers (10% sample),,,,,,,,,,,
143,ATW,Appleton International,Appleton,WI,433.97,433.97," 23,199 ",,,,,,,,,,,
144,CHO,Charlottesville Albemarle,Charlottesville,VA,434.73,434.73," 22,846 ",,,,,,,,,,,
145,PIA,General Downing - Peoria International,Peoria,IL,371.84,371.84," 22,447 ",,,,,,,,,,,
146,MLI,Quad City International,Moline,IL,387.84,387.84," 22,009 ",,,,,,,,,,,
147,BTR,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,LA,460.24,460.24," 21,746 ",,,,,,,,,,,
148,TLH,Tallahassee International,Tallahassee,FL,517.18,517.18," 21,722 ",,,,,,,,,,,
149,BQN,Rafael Hernandez,Aguadilla,PR,218.91,218.91," 21,136 ",,,,,,,,,,,
150,AGS,Augusta Regional at Bush Field,Augusta,GA,444.65,444.65," 19,563 ",,,,,,,,,,,
151,FNT,Bishop International,Flint,MI,345.86,345.86," 19,403 ",,,,,,,,,,,
152,ROA,Roanoke Blacksburg Regional Woodrum Field,Roanoke,VA,456.83,456.83," 19,238 ",,,,,,,,,,,
153,STT,Cyril E King,Charlotte Amalie,VI,346.69,346.69," 18,924 ",,,,,,,,,,,
154,BIS,Bismarck Municipal,Bismarck/Mandan,ND,437.69,437.69," 18,922 ",,,,,,,,,,,
155,GRB,Green Bay Austin Straubel International,Green Bay,WI,495.37,495.37," 18,838 ",,,,,,,,,,,
156,AMA,Rick Husband Amarillo International,Amarillo,TX,419.00,419.00," 18,761 ",,,,,,,,,,,
157,SHV,Shreveport Regional,Shreveport,LA,494.36,494.36," 18,358 ",,,,,,,,,,,
158,AVP,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,PA,429.11,429.11," 18,153 ",,,,,,,,,,,
159,DAB,Daytona Beach International,Daytona Beach,FL,421.23,421.23," 17,423 ",,,,,,,,,,,
160,CRP,Corpus Christi International,Corpus Christi,TX,463.84,463.84," 17,233 ",,,,,,,,,,,
161,HRL,Valley International,Harlingen/San Benito,TX,329.89,329.89," 17,057 ",,,,,,,,,,,
162,RAP,Rapid City Regional,Rapid City,SD,442.31,442.31," 16,555 ",,,,,,,,,,,
163,GNV,Gainesville Regional,Gainesville,FL,453.87,453.87," 16,430 ",,,,,,,,,,,
164,BGR,Bangor International,Bangor,ME,390.89,390.89," 15,933 ",,,,,,,,,,,
165,MOB,Mobile Regional,Mobile,AL,472.63,472.63," 15,748 ",,,,,,,,,,,
166,FCA,Glacier Park International,Kalispell,MT,429.94,429.94," 15,443 ",,,,,,,,,,,
167,SBP,San Luis County Regional,San Luis Obispo,CA,501.13,501.13," 15,297 ",,,,,,,,,,,
168,LFT,Lafayette Regional Paul Fournet Field,Lafayette,LA,476.86,476.86," 14,917 ",,,,,,,,,,,
169,GPT,Gulfport-Biloxi International,Gulfport/Biloxi,MS,425.10,425.10," 14,641 ",,,,,,,,,,,
170,BMI,Central Il Regional Airport at Bloomington,Bloomington/Normal,IL,374.84,374.84," 13,904 ",,,,,,,,,,,
171,STS,Charles M. Schulz - Sonoma County,Santa Rosa,CA,326.36,326.36," 13,842 ",,,,,,,,,,,
172,JNU,Juneau International,Juneau,AK,435.11,435.11," 13,794 ",,,,,,,,,,,
173,EVV,Evansville Regional,Evansville,IN,447.43,447.43," 13,777 ",,,,,,,,,,,
174,TVC,Cherry Capital,Traverse City,MI,448.68,448.68," 13,626 ",,,,,,,,,,,
175,FAY,Fayetteville Regional/Grannis Field,Fayetteville,NC,444.17,444.17," 13,223 ",,,,,,,,,,,
176,GJT,Grand Junction Regional,Grand Junction,CO,455.33,455.33," 13,205 ",,,,,,,,,,,
177,MLB,Melbourne International,Melbourne,FL,444.42,444.42," 12,640 ",,,,,,,,,,,
178,PHF,Newport News/Williamsburg International,Newport News/Williamsburg,VA,472.10,472.10," 12,579 ",,,,,,,,,,,
179,CRW,Yeager,Charleston/Dunbar,WV,493.34,493.34," 12,500 ",,,,,,,,,,,
180,TRI,Tri Cities,Bristol/Johnson City/Kingsport,TN,487.06,487.06," 12,390 ",,,,,,,,,,,
181,EYW,Key West International,Key West,FL,410.18,410.18," 12,329 ",,,,,,,,,,,
182,BLV,Scott AFB/MidAmerica,Belleville,IL,171.62,171.62," 12,125 ",,,,,,,,,,,
183,SWF,New York Stewart International,Newburgh/Poughkeepsie,NY,321.14,321.14," 11,956 ",,,,,,,,,,,
184,JAC,Jackson Hole,Jackson,WY,569.86,569.86," 11,761 ",,,,,,,,,,,
185,LCK,Rickenbacker International,Columbus,OH,159.28,159.28," 11,652 ",,,,,,,,,,,
186,MRY,Monterey Regional,Monterey,CA,423.11,423.11," 11,497 ",,,,,,,,,,,
187,USA,Concord Padgett Regional,Concord,NC,125.64,125.64," 11,465 ",,,,,,,,,,,
188,GTF,Great Falls International,Great Falls,MT,418.90,418.90," 10,407 ",,,,,,,,,,,
189,SCE,University Park,State College,PA,458.19,458.19," 10,383 ",,,,,,,,,,,
