amusementpark_name,city,state
Enchanted Forest (Oregon)|Enchanted Forest,Turner, Oregon
Oaks Amusement Park,Portland, Oregon
Phoenixville, Pennsylvania|Phoenixville, Pennsylvania
Bushkill Park,Easton, Pennsylvania
Camelback Mountain Resort,Tannersville, Pennsylvania
Carousel Village at Indian Walk,Wrightstown, Pennsylvania
Conneaut Lake Park,Conneaut Lake, Pennsylvania
DelGrosso's Amusement Park,Tipton, Pennsylvania
Dorney Park & Wildwater Kingdom,Allentown, Pennsylvania
Dutch Wonderland,Lancaster, Pennsylvania
Fun Fore All,Cranberry Township, Butler County
Hersheypark,Hershey, Pennsylvania
Idlewild and Soak Zone,Ligonier, Pennsylvania
Kennywood,West Mifflin, Pennsylvania
Knoebels Amusement Resort,Elysburg, Pennsylvania
Lakemont Park,Altoona, Pennsylvania
Pocono Play Park,East Stroudsburg, Pennsylvania
Sesame Place,Langhorne, Pennsylvania
Waldameer Park,Erie, Pennsylvania
Kalahari Resorts,Pocono Manor, Pennsylvania
Adventureland Family Fun Park (Rhode Island)|Adventureland Family Fun Park,Narragansett, Rhode Island
Atlantic Beach Park,Westerly, Rhode Island
Broadway Grand Prix,Myrtle Beach, South Carolina
Carowinds,Fort Mill, South Carolina
Family Kingdom Amusement Park,Myrtle Beach, South Carolina
Mr. Putty's Fun Park,Tega Cay, South Carolina
O.D. Pavilion Amusement Park,North Myrtle Beach, South Carolina
Pavilion Park,Myrtle Beach, South Carolina
Pedroland,Dillon, South Carolina
Flags & Wheels Indoor Racing,Rapid City, South Dakota
Fort Hays Chuckwagon,Rapid City, South Dakota
Rush Mountain Adventure Park,Keystone, South Dakota
Storybook Land (South Dakota)|Storybook Land,Rapid City, South Dakota
Thunder Road Family Fun Park,Aberdeen, South Dakota
Anakeesta,Gatlinburg, Tennessee
Dollywood,Pigeon Forge, Tennessee
Fun Stop,Pigeon Forge, Tennessee
Gatlinburg Mountain Coaster,Gatlinburg, Tennessee
Goats on the Roof of the Smokies,Pigeon Forge, Tennessee
Incredible Pizza Company,Cordova, Tennessee
Island in Pigeon Forge,Pigeon Forge, Tennessee
The Island in Pigeon Forge,Pigeon Forge, Tennessee
Jurassic Jungle Boat Ride,Pigeon Forge, Tennessee
NASCAR Speedpark,Sevierville, Tennessee
Ober Gatlinburg,Gatlinburg, Tennessee
Pigeon Forge, Tennessee|Pigeon Forge, Tennessee
Gatlinburg, Tennessee|Gatlinburg, Tennessee
Rowdy Bear Ridge Adventure Park,Pigeon Forge, Tennessee
Sir Goony's Fun Zone,Chattanooga, Tennessee
Smoky Mountain Alpine Coaster,Pigeon Forge, Tennessee
Alley Cats (amusement park)|Alley Cats,Hurst, Texas
Austin's Park N Pizza,Pflugerville, Texas
Downtown Aquarium, Houston|Downtown Aquarium,Houston
Elise's Family Fun Center,Winnie, Texas
Funplex (amusement park)|Funplex,Houston, Texas
Galveston Island Historic Pleasure Pier,Galveston, Texas
Gatti's Pizza,Abilene, Texas
Grand Texas Theme Park,New Caney, Texas
In The Game Funtrackers,Corpus Christi, Texas
iT'Z Family Food & Fun,Euless, Texas
Joyland Amusement Park,Lubbock, Texas
Kemah Boardwalk,Kemah, Texas
Kiddie Park Of San Antonio,San Antonio,Texas
Landa Park,New Braunfels, Texas
Morgan's Wonderland,San Antonio,Texas
Mountasia Family Fun Center,North Richland Hills, Texas
Oasis Lanes & Amusement Center,El Paso, Texas
SeaWorld San Antonio,San Antonio,Texas
Six Flags Fiesta Texas,San Antonio,Texas
Six Flags Over Texas,Arlington, Texas
Tilt Studio,Katy, Texas
Wonderland Park (Texas)|Wonderland Park,Amarillo, Texas
YesterLand Farm,Canton, Texas
ZDT's Amusement Park,Seguin, Texas
Lagoon Amusement Park,Farmington, Utah
Park City Mountain Resort,Park City, Utah
Seven Peaks Fun Center,Lehi, Utah
Snowbird, Utah|Snowbird, Utah
Bromley Mountain|Bromley, Vermont's Summer Adventure, Vermont
Killington Resort,Killington, Vermont
Okemo Mountain Resort,Ludlow (town, Vermont
Quechee Gorge Village,Quechee, Vermont
Atlantic Fun Park,Virginia Beach, Virginia
Busch Gardens Williamsburg,Williamsburg, Virginia
Fun Land of Fredericksburg,Fredericksburg, Virginia
Go-Karts Plus,Williamsburg, Virginia
Kings Dominion,Doswell, Virginia
Motor World,Virginia Beach, Virginia
Country Mercantile,Pasco, Washington
Pier 57 (Seattle)|Pier 57,Seattle, Washington
Remlinger Farms,Carnation, Washington
Riverfront Park (Spokane, Washington|Riverfront Park, Washington
The Rides At Long Beach,Long Beach, Washington
Washington State Fair,Puyallup, Washington
Wild Waves Theme Park,Federal Way, Washington
