zoo_name,state
"Wagon Trails Animal Park, Vienna",Ohio
"The Wilds, Cumberland",Ohio
"Greater Wynnewood Exotic Animal Park, Wynnewood",Oklahoma
"Oklahoma City Zoo and Botanical Garden, Oklahoma City",Oklahoma
"Tulsa Zoo and Living Museum, Tulsa",Oklahoma
"Cascades Raptor Center, Eugene",Oregon
"Chimps Inc., Bend",Oregon
"Great Cats World Park, Cave Junction",Oregon
"International Reptile Rescue, Canby",Oregon
"Oregon Zoo, Portland",Oregon
"Sea Lion Caves, Florence",Oregon
"West Coast Game Park Safari, Bandon",Oregon
"Wildlife Safari, Winston",Oregon
"Artisan Alpacas , Dushore",Pennsylvania
"Claws-n-Paws Wild Animal Park, Lake Ariel",Pennsylvania
"Clyde Peeling's Reptiland, Allenwood",Pennsylvania
"Critter Country Animal Farm, Smithton",Pennsylvania
"Elmwood Park Zoo, Norristown",Pennsylvania
"Erie Zoo, Erie",Pennsylvania
Forest Glen Alpacas- Titusville,Pennsylvania
"Insectarium, Philadelphia",Pennsylvania
"Keystone Safari Adventures, Grove City",Pennsylvania
"Lake Tobias Wildlife Park, Halifax",Pennsylvania
"Lehigh Valley Zoo, Schnecksville",Pennsylvania
"Living Treasures Wild Animal Park, New Castle and Jones Mills",Pennsylvania
"National Aviary, Pittsburgh",Pennsylvania
"Philadelphia Zoo, Philadelphia",Pennsylvania
"Pittsburgh Zoo & PPG Aquarium, Highland Park",Pennsylvania
"Pocono Snake and Animal Farm, East Stroudsburg",Pennsylvania
"Pymatuning Deer Park, Jamestown",Pennsylvania
"T & D's Cats of the World Wild Animal Refuge, Penns Creek",Pennsylvania
"Wolf Sanctuary of Pennsylvania, Lititz",Pennsylvania
"ZooAmerica, Hershey",Pennsylvania
"Daggett Farm Petting Zoo, Pawtucket",Rhode Island
"Roger Williams Park Zoo, Providence",Rhode Island
"Alligator Adventure, North Myrtle Beach",South Carolina
"Lowcountry Zoo at Brookgreen Gardens, Murrells Inlet",South Carolina
"Center for Birds of Prey, Awendaw[31]",South Carolina
"Charles Towne Landing, Charleston",South Carolina
"Greenville Zoo, Greenville",South Carolina
"HollyWild Animal Park, Inman",South Carolina
"Reptile Lagoon, Dillon",South Carolina
"Riverbanks Zoo, Columbia",South Carolina
"The Institute for Greatly Endangered and Rare Species (T.I.G.E.R.S.) Preservation Station, Myrtle Beach, South Carolina",South Carolina
"Bear Country USA, Rapid City",South Dakota
"Bramble Park Zoo, Watertown",South Dakota
"Great Plains Zoo and Delbridge Museum, Sioux Falls",South Dakota
"Old MacDonald's Farm, Rapid City",South Dakota
"Reptile Gardens, Rapid City",South Dakota
"Brights Zoo, Limestone",Tennessee
"Chattanooga Zoo at Warner Park, Chattanooga",Tennessee
"The Elephant Sanctuary, Hohenwald",Tennessee
"Memphis Zoo, Memphis",Tennessee
"Nashville Zoo at Grassmere, Nashville",Tennessee
"Three Bears Exhibits, Pigeon Forge",Tennessee
"Zoo Knoxville, Knoxville",Tennessee
"Abilene Zoological Gardens, Abilene",Texas
"Amarillo Zoo, Amarillo[32]",Texas
"Austin Zoo, Austin",Texas
"Bear Creek Pioneers Park Wildlife Habitat/Aviary, Houston",Texas
"Caldwell Zoo, Tyler",Texas
"Cameron Park Zoo, Waco",Texas
"Crocodile Encounter, Angleton",Texas
"Capital of Texas Zoo, Cedar Creek[33]",Texas
"Dallas Zoo, Dallas",Texas
"East Texas Zoo and Gator Park, Grand Saline, Texas",Texas
"El Paso Zoo, El Paso",Texas
"Ellen Trout Zoo, Lufkin",Texas
"Fort Worth Zoo, Fort Worth",Texas
"Fossil Rim Wildlife Center, Glen Rose",Texas
"Frank Buck Zoo, Gainesville",Texas
"Gladys Porter Zoo, Brownsville",Texas
"Houston Zoo, Houston",Texas
