beach_name,state
*Quonochontaug, Rhode Island
*Weekapaug, Rhode Island
*Atlantic Beach, South Carolina
*Cherry Grove Beach, South Carolina
*Crescent Beach, South Carolina
*Edisto Beach, South Carolina
*Folly Beach, South Carolina
*Hilton Head Island, South Carolina
* Isle of Palms, South Carolina
*Myrtle Beach, South Carolina
*North Myrtle Beach, South Carolina
*Springmaid Beach, South Carolina
*Surfside Beach, South Carolina
*Galveston, Texas
*Mustang Island State Park|Mustang Island, Texas
*Padre Island National Seashore|Padre Island, Texas
*South Padre Island, Texas
*Surfside Beach, Texas
*Palmyra Atoll|Beaches at Palmyra Atoll,
File:Megans Beach.jpg|thumb|right|Magens Bay beach in Saint Thomas, U.S. Virgin Islands
{{Main|List of beaches in the U.S. Virgin Islands}},
*Cinnamon Bay, Saint John
*Coki Beach, Saint Thomas
*Gibney Beach, St. John
*Haypenny Bay, Saint Croix
*Hull Bay, U.S. Virgin Islands
*Magens Bay, St. Thomas
*Salt River Bay National Historical Park and Ecological Preserve, St. Croix
*Sandy Point National Wildlife Refuge, St. Croix
*Trunk Bay, St. John
*Buckroe Beach, Virginia
*Chincoteague, Virginia
*Colonial Beach, Virginia
*Ocean View, Virginia
*Virginia Beach, Virginia
*Alki Beach Park|Alki Beach, Virginia
*Ocean Shores, Washington
*Bradford Beach, Washington
*Mazo Beach, Washington
*Point_Beach_State_Forest|Point Beach, Washington
